date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:17	72121/72121	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:13%20GMT	https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/?trang=2	D:/clone/duhoc/duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/index34c7.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/)
09:53:17	851856/851856	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Sep%202021%2007:24:52%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2021/09/olaihaytrove.png	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2021/09/olaihaytrove.png	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:17	305140/305140	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Sep%202021%2006:07:44%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2021/09/duhocgd.png	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2021/09/duhocgd.png	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:17	72072/72072	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:13%20GMT	https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/?trang=3	D:/clone/duhoc/duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/index9de7.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/)
09:53:18	642708/642708	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Sep%202021%2007:32:48%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2021/09/nhatbannghiemkhac.png	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2021/09/nhatbannghiemkhac.png	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:18	170215/170215	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Apr%202021%2002:41:19%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2021/04/truong-matsudo-chiba-nhat-ban.jpeg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2021/04/truong-matsudo-chiba-nhat-ban.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:18	101280/101280	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Mar%202021%2003:01:29%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2021/03/fukuoka_city-1.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2021/03/fukuoka_city-1.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:18	163344/163344	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Dec%202020%2007:06:52%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/12/truong-nha-ngu-first-study1.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/12/truong-nha-ngu-first-study1.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:19	97967/97967	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Oct%202020%2003:58:43%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/10/Tr%c6%b0%e1%bb%9dng-Nh%e1%ba%adt-ng%e1%bb%af-Fukuoka.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/10/Tr%c6%b0%e1%bb%9dng-Nh%e1%ba%adt-ng%e1%bb%af-Fukuoka.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:19	71755/71755	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:14%20GMT	https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/?trang=4	D:/clone/duhoc/duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/indexfde0.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/)
09:53:19	899658/899658	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Sep%202020%2001:43:38%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/09/visa-du-hoc-nhat-ban.png	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/09/visa-du-hoc-nhat-ban.png	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:19	51586/51586	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Sep%202020%2007:07:41%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/09/hoc-dieu-duong-tai-nhat1.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/09/hoc-dieu-duong-tai-nhat1.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:19	67659/67659	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:15%20GMT	https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/?trang=5	D:/clone/duhoc/duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/index1b1d.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/page/2/)
09:53:19	188813/188813	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202020%2006:50:05%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/07/dai-hoc-Waseda-nhat-ban.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/07/dai-hoc-Waseda-nhat-ban.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:19	160796/160796	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jul%202020%2009:03:42%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/07/vien-cong-nghe-tokyo.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/07/vien-cong-nghe-tokyo.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:20	100819/100819	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:16%20GMT	https://duhoctinphat.edu.vn/du-hoc/co-tieng-la-co-tien-chinh-phuc-tieng-nhat-n4-hieu-qua-truoc-nhap-canh/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/co-tieng-la-co-tien-chinh-phuc-tieng-nhat-n4-hieu-qua-truoc-nhap-canh/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:20	179918/179918	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202020%2007:07:28%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/07/Dai-hoc-Hokkaido-nhat-ban.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/07/Dai-hoc-Hokkaido-nhat-ban.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:20	310026/310026	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jul%202020%2002:43:59%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/07/dai-hoc-quoc-te-Akita.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/07/dai-hoc-quoc-te-Akita.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:20	648640/648640	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jun%202020%2007:56:08%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-dai-hoc-hosie.png	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-dai-hoc-hosie.png	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:20	109348/109348	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jun%202020%2003:15:37%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/06/dai-hoc-tohoku1-1.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/06/dai-hoc-tohoku1-1.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:20	96690/96690	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:16%20GMT	https://duhoctinphat.edu.vn/du-hoc/giai-dap-12-cau-hoi-thuong-gap-cua-du-hoc-sinh-nhat-ban-phan-2/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/giai-dap-12-cau-hoi-thuong-gap-cua-du-hoc-sinh-nhat-ban-phan-2/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:20	205044/205044	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Jun%202020%2007:41:28%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-dh-hitotsubashi.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-dh-hitotsubashi.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:21	145978/145978	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Jun%202020%2004:55:11%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-Osaka-Nhat-ban.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-Osaka-Nhat-ban.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:21	121964/121964	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2003:31:44%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/06/dai-hoc-Kyushu-nhat-ban.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/06/dai-hoc-Kyushu-nhat-ban.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:21	103386/103386	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jun%202020%2006:43:12%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-kieo-nhat-ban.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/06/truong-kieo-nhat-ban.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=3)
09:53:21	86113/86113	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:17%20GMT	https://duhoctinphat.edu.vn/du-hoc/co-mot-noi-so-mang-ten-hang-xom-khi-toi-lua-chon-di-du-hoc/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/co-mot-noi-so-mang-ten-hang-xom-khi-toi-lua-chon-di-du-hoc/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:22	604592/604592	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Apr%202020%2006:45:05%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-ky-su2.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-ky-su2.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=4)
09:53:22	85557/85557	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:18%20GMT	https://duhoctinphat.edu.vn/du-hoc/tai-sao-nhat-ban-lai-nghiem-khac-voi-chung-ta-den-the-toi-da-hoc-duoc-dieu-gi-sau-2-nam-di-du-hoc/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/tai-sao-nhat-ban-lai-nghiem-khac-voi-chung-ta-den-the-toi-da-hoc-duoc-dieu-gi-sau-2-nam-di-du-hoc/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:22	917676/917676	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Apr%202020%2008:13:51%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-lam-them-dieu-duong.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-lam-them-dieu-duong.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=4)
09:53:22	573190/573190	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Apr%202020%2006:51:41%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-phat-bao-tin-phat.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-phat-bao-tin-phat.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=4)
09:53:22	90773/90773	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:18%20GMT	https://duhoctinphat.edu.vn/du-hoc/tim-hieu-ngoi-truong-quoc-te-matsudo-tai-nhat-ban/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/tim-hieu-ngoi-truong-quoc-te-matsudo-tai-nhat-ban/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:22	495347/495347	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Apr%202020%2007:16:29%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-toan-phan-Tin-Phat.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-toan-phan-Tin-Phat.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=4)
09:53:23	84493/84493	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Dec%202022%2002:53:19%20GMT	https://duhoctinphat.edu.vn/du-hoc/thanh-pho-fukuoka-thien-duong-ly-tuong-de-hoc-tap-va-sinh-song/	D:/clone/duhoc/duhoctinphat.edu.vn/du-hoc/thanh-pho-fukuoka-thien-duong-ly-tuong-de-hoc-tap-va-sinh-song/index.html	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=2)
09:53:23	597656/597656	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Apr%202020%2006:51:50%20GMT	https://duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-dieu-duong-tin-phat.jpg	D:/clone/duhoc/duhoctinphat.edu.vn/wp-content/uploads/2020/04/hoc-bong-dieu-duong-tin-phat.jpg	(from https://duhoctinphat.edu.vn/danh-muc-du-hoc/du-hoc-nhat-ban/?trang=4)
